1539872488	25	73	0	131	201
1539873088	19	68	0	160	209
1539873688	25	75	0	152	236
1539874288	23	49	0	121	202
1539874888	21	78	0	129	231
1539875488	24	62	0	121	233
1539876088	19	48	0	154	211
1539876688	19	58	0	151	212
1539877288	24	63	0	129	211
1539877888	19	51	0	132	220
1539878488	21	41	0	132	228
1539879088	19	75	0	131	232
1539879688	18	70	0	141	206
1539880288	22	57	0	152	221
1539880888	19	41	0	122	235
1539881488	21	49	0	149	205
1539882088	20	57	0	160	235
1539882688	22	46	0	133	234
1539883288	24	73	0	138	205
1539883888	23	75	0	138	231
1539884488	25	75	0	133	232
1539885088	19	80	0	137	205
1539885688	18	66	0	138	233
1539886288	25	49	0	128	205
1539886888	21	57	0	145	229
1539887488	19	79	0	134	232
1539888088	19	72	0	129	223
1539888688	24	52	0	139	203
1539889288	24	45	0	152	239
1539889888	24	60	0	144	216
1539890488	20	67	0	155	226
1539891088	18	67	0	148	204
1539891688	18	80	0	131	225
1539892288	22	55	0	121	221
1539892888	19	52	0	128	207
1539893488	24	63	0	148	210
1539894088	24	66	0	121	227
1539894688	23	51	0	129	222
1539895288	19	59	0	140	202
1539895888	23	66	0	159	209
1539896488	19	69	0	150	208
1539897088	21	52	0	137	212
1539897688	24	77	0	160	232
1539898288	18	53	0	153	209
1539898888	23	50	0	131	207
1539899488	20	47	0	133	215
1539900088	23	61	0	121	220
1539900688	23	43	0	127	209
1539901288	20	58	0	153	229
1539901888	19	43	0	125	210
1539902488	23	51	0	137	215
1539903088	20	65	0	137	214
1539903688	25	45	0	125	239
1539904288	21	45	0	123	213
1539904888	23	76	0	155	237
1539905488	19	64	0	128	213
1539906088	23	40	0	123	215
1539906688	25	62	0	142	230
1539907288	21	46	0	138	207
1539907888	21	58	0	128	211
1539908488	23	54	0	141	218
1539909088	24	66	0	150	239
1539909688	25	57	0	121	213
1539910288	18	46	0	160	219
1539910888	19	61	0	156	217
1539911488	19	56	0	129	200
1539912088	22	71	0	124	201
1539912688	22	79	0	148	227
1539913288	20	48	0	130	227
1539913888	19	59	0	131	213
1539914488	24	71	0	146	205
1539915088	19	64	0	131	230
1539915688	23	40	0	139	209
1539916288	18	71	0	132	236
1539916888	20	57	0	120	230
1539917488	18	60	0	122	222
1539918088	19	54	0	134	233
1539918688	24	42	0	132	216
1539919288	20	40	0	132	204
1539919888	18	68	0	126	209
1539920488	20	43	0	145	225
1539921088	21	40	0	120	202
1539921688	19	71	0	138	216
1539922288	24	66	0	147	222
1539922888	19	49	0	151	227
1539923488	21	59	0	149	217
1539924088	22	72	0	148	229
1539924688	19	69	0	154	240
1539925288	25	72	0	148	221
1539925888	24	71	0	157	236
1539926488	24	65	0	149	203
1539927088	19	59	0	158	207
1539927688	20	61	0	138	219
1539928288	22	78	0	126	229
1539928888	19	41	0	127	207
1539929488	23	80	0	124	223
1539930088	18	43	0	121	238
1539930688	21	59	0	138	237
1539931288	18	52	0	145	207
1539931888	20	42	0	128	225
1539932488	19	47	0	157	218
